700,913
700,823
700,956
700,957
700,707
700,971
700,720
702,932
706,836
706,936
707,823
707,913
707,809
707,950
707,720
707,856
707,957
707,872
707,765
708,768
708,708
708,748
710,896
710,710
710,747
710,971
710,952
714,813
715,799
717,717
719,719
719,841
720,804
720,754
720,720
720,856
720,765
723,777
723,971
723,723
723,825
723,923
723,733
726,726
728,733
728,885
729,971
733,777
733,825
733,923
733,733
738,809
738,738
740,971
745,745
747,971
748,793
748,932
748,748
749,776
749,820
751,820
753,900
753,914
753,816
753,753
753,978
753,860
754,804
754,950
754,971
756,756
757,980
765,912
765,856
767,803
768,935
776,776
776,908
776,917
776,918
776,936
776,820
777,971
777,777
777,862
778,971
779,820
786,786
789,835
796,828
799,971
801,820
803,803
803,859
803,812
803,826
803,990
804,971
805,971
806,806
806,809
809,809
809,949
809,971
809,845
809,859
809,826
812,932
812,950
812,812
812,971
812,845
812,859
812,826
812,990
812,991
812,877
812,880
813,817
813,836
815,880
815,815
815,859
816,914
816,816
816,953
816,987
816,860
820,955
820,820
820,856
820,908
820,917
820,918
820,932
820,950
820,970
820,974
822,900
822,822
822,936
822,908
822,953
822,922
823,823
823,971
823,856
825,923
826,832
826,826
826,859
826,990
826,1001
828,896
828,889
828,892
832,832
832,859
840,840
841,869
841,841
844,971
845,921
845,953
845,845
845,859
845,865
845,924
847,919
847,922
847,925
847,847
847,981
847,976
849,859
851,907
851,851
851,852
852,852
856,922
856,913
856,932
856,950
856,956
856,856
859,921
859,932
859,971
859,859
859,990
859,991
859,880
859,963
860,900
860,914
860,978
860,860
880,921
880,949
880,880
883,883
891,892
892,896
892,892
893,971
896,896
898,898
900,900
900,914
900,953
900,978
900,987
903,907
905,905
907,936
907,907
908,918
908,908
908,917
908,922
913,967
913,951
913,950
913,922
913,956
913,972
914,914
914,987
917,918
917,974
918,918
918,974
918,1000
919,976
919,981
919,919
921,930
922,922
922,956
923,923
925,976
925,981
925,925
926,930
926,931
926,926
926,963
926,927
927,930
927,931
927,963
927,927
929,929
929,933
930,930
930,931
930,963
931,931
931,963
932,932
932,963
933,933
933,956
935,936
936,955
936,965
936,936
937,937
945,945
947,947
949,949
950,963
951,951
951,957
953,997
955,955
958,962
963,963
971,971
971,973
971,975
976,976
976,981
980,980
981,981
